val_0,padre_0,izq_0,val_1,padre_1,izq_1,val_2,padre_2,izq_2,val_3,padre_3,izq_3,val_4,padre_4,izq_4,val_5,padre_5,izq_5,val_6,padre_6,izq_6,val_buscar,busqueda,inorder_0,inorder_1,inorder_2,inorder_3,inorder_4,inorder_5,inorder_6
12,-1,-1,29,0,0,37,1,0,49,2,0,45,3,1,34,2,1,0,-1,-1,43,0,12,29,34,37,45,49,-1
23,-1,-1,32,0,0,36,1,0,45,2,0,39,3,1,0,-1,-1,0,-1,-1,25,0,23,32,36,39,45,-1,-1
41,-1,-1,49,0,0,50,1,0,32,0,1,0,-1,-1,0,-1,-1,0,-1,-1,49,1,32,41,49,50,-1,-1,-1
44,-1,-1,21,0,1,1,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,8,0,1,21,44,-1,-1,-1,-1
23,-1,-1,12,0,1,49,0,0,42,2,1,0,-1,-1,0,-1,-1,0,-1,-1,20,0,12,23,42,49,-1,-1,-1
38,-1,-1,15,0,1,45,0,0,28,1,0,0,-1,-1,0,-1,-1,0,-1,-1,36,0,15,28,38,45,-1,-1,-1
50,-1,-1,18,0,1,44,1,0,16,1,1,1,3,1,33,2,1,0,-1,-1,33,1,1,16,18,33,44,50,-1
24,-1,-1,40,0,0,49,1,0,50,2,0,18,0,1,23,4,0,0,-1,-1,3,0,18,23,24,40,49,50,-1
2,-1,-1,4,0,0,39,1,0,47,2,0,19,2,1,0,-1,-1,0,-1,-1,7,0,2,4,19,39,47,-1,-1
30,-1,-1,33,0,0,31,1,1,12,0,1,40,1,0,21,3,0,43,4,0,27,0,12,21,30,31,33,40,43
21,-1,-1,25,0,0,32,1,0,20,0,1,17,3,1,30,2,1,0,-1,-1,12,0,17,20,21,25,30,32,-1
5,-1,-1,49,0,0,40,1,1,19,2,1,0,-1,-1,0,-1,-1,0,-1,-1,30,0,5,19,40,49,-1,-1,-1
43,-1,-1,7,0,1,10,1,0,6,1,1,45,0,0,34,2,0,21,5,1,23,0,6,7,10,21,34,43,45
24,-1,-1,25,0,0,4,0,1,23,2,0,35,1,0,0,-1,-1,0,-1,-1,5,0,4,23,24,25,35,-1,-1
13,-1,-1,21,0,0,38,1,0,28,2,1,17,1,1,45,2,0,0,-1,-1,5,0,13,17,21,28,38,45,-1
35,-1,-1,34,0,1,33,1,1,38,0,0,14,2,1,7,4,1,18,4,0,26,0,7,14,18,33,34,35,38
4,-1,-1,9,0,0,25,1,0,14,2,1,21,3,0,22,4,0,0,-1,-1,41,0,4,9,14,21,22,25,-1
32,-1,-1,17,0,1,43,0,0,14,1,1,12,3,1,49,2,0,0,-1,-1,46,0,12,14,17,32,43,49,-1
10,-1,-1,28,0,0,35,1,0,44,2,0,25,1,1,31,2,1,5,0,1,46,0,5,10,25,28,31,35,44
29,-1,-1,18,0,1,39,0,0,3,1,1,5,3,0,46,2,0,26,1,0,34,0,3,5,18,26,29,39,46
30,-1,-1,25,0,1,48,0,0,43,2,1,3,1,1,0,-1,-1,0,-1,-1,3,1,3,25,30,43,48,-1,-1
7,-1,-1,44,0,0,16,1,1,2,0,1,0,-1,-1,0,-1,-1,0,-1,-1,40,0,2,7,16,44,-1,-1,-1
41,-1,-1,50,0,0,21,0,1,32,2,0,3,2,1,9,4,0,31,3,1,42,0,3,9,21,31,32,41,50
38,-1,-1,1,0,1,24,1,0,2,2,1,0,-1,-1,0,-1,-1,0,-1,-1,43,0,1,2,24,38,-1,-1,-1
4,-1,-1,48,0,0,2,0,1,44,1,1,31,3,1,35,4,0,0,-1,-1,26,0,2,4,31,35,44,48,-1
7,-1,-1,3,0,1,29,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,30,0,3,7,29,-1,-1,-1,-1
4,-1,-1,27,0,0,8,1,1,45,1,0,28,3,1,17,2,0,25,5,0,50,0,4,8,17,25,27,28,45
1,-1,-1,28,0,0,38,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,31,0,1,28,38,-1,-1,-1,-1
25,-1,-1,42,0,0,35,1,1,29,2,1,0,-1,-1,0,-1,-1,0,-1,-1,29,1,25,29,35,42,-1,-1,-1
39,-1,-1,48,0,0,37,0,1,32,2,1,27,3,1,23,4,1,0,-1,-1,14,0,23,27,32,37,39,48,-1
18,-1,-1,5,0,1,28,0,0,35,2,0,1,1,1,12,1,0,0,-1,-1,19,0,1,5,12,18,28,35,-1
16,-1,-1,11,0,1,40,0,0,30,2,1,13,1,0,0,-1,-1,0,-1,-1,48,0,11,13,16,30,40,-1,-1
17,-1,-1,38,0,0,19,1,1,24,2,0,39,1,0,16,0,1,0,-1,-1,13,0,16,17,19,24,38,39,-1
38,-1,-1,28,0,1,27,1,1,19,2,1,29,1,0,44,0,0,0,-1,-1,31,0,19,27,28,29,38,44,-1
35,-1,-1,24,0,1,41,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,28,0,24,35,41,-1,-1,-1,-1
32,-1,-1,49,0,0,27,0,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,37,0,27,32,49,-1,-1,-1,-1
11,-1,-1,43,0,0,37,1,1,46,1,0,27,2,1,36,4,0,12,4,1,34,0,11,12,27,36,37,43,46
9,-1,-1,23,0,0,38,1,0,37,2,1,36,3,1,49,2,0,24,4,1,50,0,9,23,24,36,37,38,49
35,-1,-1,45,0,0,14,0,1,28,2,0,0,-1,-1,0,-1,-1,0,-1,-1,39,0,14,28,35,45,-1,-1,-1
48,-1,-1,35,0,1,27,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,14,0,27,35,48,-1,-1,-1,-1
32,-1,-1,49,0,0,24,0,1,21,2,1,6,3,1,10,4,0,34,1,1,20,0,6,10,21,24,32,34,49
25,-1,-1,39,0,0,46,1,0,20,0,1,28,1,1,0,-1,-1,0,-1,-1,2,0,20,25,28,39,46,-1,-1
18,-1,-1,49,0,0,24,1,1,21,2,1,0,-1,-1,0,-1,-1,0,-1,-1,50,0,18,21,24,49,-1,-1,-1
46,-1,-1,39,0,1,48,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,33,0,39,46,48,-1,-1,-1,-1
16,-1,-1,47,0,0,10,0,1,40,1,1,0,-1,-1,0,-1,-1,0,-1,-1,19,0,10,16,40,47,-1,-1,-1
40,-1,-1,23,0,1,5,1,1,45,0,0,50,3,0,29,1,0,0,-1,-1,46,0,5,23,29,40,45,50,-1
22,-1,-1,3,0,1,28,0,0,18,1,0,33,2,0,0,-1,-1,0,-1,-1,14,0,3,18,22,28,33,-1,-1
45,-1,-1,3,0,1,8,1,0,27,2,0,12,3,1,0,-1,-1,0,-1,-1,5,0,3,8,12,27,45,-1,-1
29,-1,-1,25,0,1,18,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,5,0,18,25,29,-1,-1,-1,-1
41,-1,-1,21,0,1,32,1,0,7,1,1,42,0,0,0,-1,-1,0,-1,-1,46,0,7,21,32,41,42,-1,-1
19,-1,-1,3,0,1,47,0,0,49,2,0,31,2,1,0,-1,-1,0,-1,-1,29,0,3,19,31,47,49,-1,-1
9,-1,-1,49,0,0,50,1,0,33,1,1,43,3,0,14,3,1,35,4,1,44,0,9,14,33,35,43,49,50
1,-1,-1,26,0,0,19,1,1,29,1,0,9,2,1,33,3,0,0,-1,-1,26,1,1,9,19,26,29,33,-1
12,-1,-1,39,0,0,8,0,1,1,2,1,14,1,1,22,4,0,0,-1,-1,18,0,1,8,12,14,22,39,-1
22,-1,-1,49,0,0,8,0,1,38,1,1,0,-1,-1,0,-1,-1,0,-1,-1,11,0,8,22,38,49,-1,-1,-1
5,-1,-1,36,0,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,6,0,1,5,36,-1,-1,-1,-1
30,-1,-1,29,0,1,45,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,9,0,29,30,45,-1,-1,-1,-1
32,-1,-1,4,0,1,21,1,0,24,2,0,50,0,0,20,2,1,0,-1,-1,11,0,4,20,21,24,32,50,-1
31,-1,-1,12,0,1,42,0,0,10,1,1,8,3,1,24,1,0,25,5,0,33,0,8,10,12,24,25,31,42
8,-1,-1,19,0,0,32,1,0,29,2,1,0,-1,-1,0,-1,-1,0,-1,-1,27,0,8,19,29,32,-1,-1,-1
21,-1,-1,4,0,1,24,0,0,32,2,0,6,1,0,0,-1,-1,0,-1,-1,31,0,4,6,21,24,32,-1,-1
6,-1,-1,28,0,0,14,1,1,8,2,1,0,-1,-1,0,-1,-1,0,-1,-1,35,0,6,8,14,28,-1,-1,-1
47,-1,-1,21,0,1,9,1,1,41,1,0,20,2,0,0,-1,-1,0,-1,-1,43,0,9,20,21,41,47,-1,-1
10,-1,-1,2,0,1,38,0,0,28,2,1,13,3,1,43,2,0,16,4,0,43,1,2,10,13,16,28,38,43
29,-1,-1,10,0,1,34,0,0,28,1,0,20,3,1,13,4,1,50,2,0,42,0,10,13,20,28,29,34,50
33,-1,-1,26,0,1,7,1,1,11,2,0,43,0,0,23,3,0,1,2,1,20,0,1,7,11,23,26,33,43
17,-1,-1,42,0,0,29,1,1,9,0,1,36,2,0,18,2,1,0,-1,-1,1,0,9,17,18,29,36,42,-1
49,-1,-1,5,0,1,11,1,0,28,2,0,0,-1,-1,0,-1,-1,0,-1,-1,50,0,5,11,28,49,-1,-1,-1
48,-1,-1,27,0,1,7,1,1,39,1,0,47,3,0,30,3,1,12,2,0,34,0,7,12,27,30,39,47,48
17,-1,-1,16,0,1,31,0,0,18,2,1,32,2,0,0,-1,-1,0,-1,-1,25,0,16,17,18,31,32,-1,-1
7,-1,-1,6,0,1,27,0,0,47,2,0,20,2,1,34,3,1,28,5,1,28,1,6,7,20,27,28,34,47
46,-1,-1,20,0,1,14,1,1,31,1,0,38,3,0,27,3,1,40,4,0,18,0,14,20,27,31,38,40,46
22,-1,-1,30,0,0,32,1,0,23,1,1,0,-1,-1,0,-1,-1,0,-1,-1,32,1,22,23,30,32,-1,-1,-1
8,-1,-1,34,0,0,13,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,25,0,8,13,34,-1,-1,-1,-1
8,-1,-1,35,0,0,11,1,1,6,0,1,23,2,0,39,1,0,32,4,0,39,1,6,8,11,23,32,35,39
4,-1,-1,19,0,0,29,1,0,43,2,0,0,-1,-1,0,-1,-1,0,-1,-1,35,0,4,19,29,43,-1,-1,-1
11,-1,-1,1,0,1,7,1,0,50,0,0,30,3,1,13,4,1,44,4,0,35,0,1,7,11,13,30,44,50
50,-1,-1,34,0,1,39,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,19,0,34,39,50,-1,-1,-1,-1
12,-1,-1,43,0,0,48,1,0,1,0,1,0,-1,-1,0,-1,-1,0,-1,-1,14,0,1,12,43,48,-1,-1,-1
21,-1,-1,6,0,1,8,1,0,23,0,0,10,2,0,22,3,1,29,3,0,44,0,6,8,10,21,22,23,29
15,-1,-1,14,0,1,18,0,0,24,2,0,0,-1,-1,0,-1,-1,0,-1,-1,46,0,14,15,18,24,-1,-1,-1
38,-1,-1,8,0,1,4,1,1,22,1,0,37,3,0,2,2,1,0,-1,-1,47,0,2,4,8,22,37,38,-1
48,-1,-1,38,0,1,4,1,1,24,2,0,47,1,0,11,3,1,0,-1,-1,4,1,4,11,24,38,47,48,-1
2,-1,-1,21,0,0,7,1,1,34,1,0,0,-1,-1,0,-1,-1,0,-1,-1,26,0,2,7,21,34,-1,-1,-1
27,-1,-1,33,0,0,2,0,1,41,1,0,0,-1,-1,0,-1,-1,0,-1,-1,9,0,2,27,33,41,-1,-1,-1
15,-1,-1,21,0,0,8,0,1,41,1,0,50,3,0,0,-1,-1,0,-1,-1,36,0,8,15,21,41,50,-1,-1
39,-1,-1,29,0,1,42,0,0,44,2,0,15,1,1,30,1,0,0,-1,-1,23,0,15,29,30,39,42,44,-1
33,-1,-1,9,0,1,36,0,0,3,1,1,34,2,1,0,-1,-1,0,-1,-1,48,0,3,9,33,34,36,-1,-1
47,-1,-1,21,0,1,39,1,0,16,1,1,42,2,0,20,3,0,0,-1,-1,18,0,16,20,21,39,42,47,-1
27,-1,-1,26,0,1,25,1,1,29,0,0,0,-1,-1,0,-1,-1,0,-1,-1,35,0,25,26,27,29,-1,-1,-1
38,-1,-1,47,0,0,42,1,1,34,0,1,48,1,0,46,2,0,6,3,1,25,0,6,34,38,42,46,47,48
26,-1,-1,25,0,1,24,1,1,39,0,0,35,3,1,0,-1,-1,0,-1,-1,6,0,24,25,26,35,39,-1,-1
18,-1,-1,12,0,1,15,1,0,16,2,0,21,0,0,40,4,0,0,-1,-1,11,0,12,15,16,18,21,40,-1
36,-1,-1,11,0,1,49,0,0,44,2,1,5,1,1,6,4,0,41,3,1,38,0,5,6,11,36,41,44,49
35,-1,-1,41,0,0,27,0,1,3,2,1,38,1,1,0,-1,-1,0,-1,-1,12,0,3,27,35,38,41,-1,-1
30,-1,-1,42,0,0,19,0,1,3,2,1,13,3,0,22,2,0,0,-1,-1,47,0,3,13,19,22,30,42,-1
16,-1,-1,39,0,0,14,0,1,31,1,1,20,3,1,0,-1,-1,0,-1,-1,11,0,14,16,20,31,39,-1,-1
38,-1,-1,5,0,1,48,0,0,30,1,0,47,2,1,4,1,1,0,-1,-1,1,0,4,5,30,38,47,48,-1
37,-1,-1,11,0,1,34,1,0,48,0,0,0,-1,-1,0,-1,-1,0,-1,-1,18,0,11,34,37,48,-1,-1,-1
6,-1,-1,31,0,0,33,1,0,35,2,0,29,1,1,36,3,0,24,4,1,30,0,6,24,29,31,33,35,36
43,-1,-1,6,0,1,30,1,0,26,2,1,0,-1,-1,0,-1,-1,0,-1,-1,3,0,6,26,30,43,-1,-1,-1
13,-1,-1,37,0,0,9,0,1,1,2,1,16,1,1,48,1,0,0,-1,-1,50,0,1,9,13,16,37,48,-1
22,-1,-1,46,0,0,50,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,34,0,22,46,50,-1,-1,-1,-1
8,-1,-1,2,0,1,17,0,0,23,2,0,3,1,0,0,-1,-1,0,-1,-1,32,0,2,3,8,17,23,-1,-1
24,-1,-1,38,0,0,26,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,47,0,24,26,38,-1,-1,-1,-1
49,-1,-1,11,0,1,18,1,0,4,1,1,40,2,0,0,-1,-1,0,-1,-1,18,1,4,11,18,40,49,-1,-1
38,-1,-1,3,0,1,50,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,30,0,3,38,50,-1,-1,-1,-1
27,-1,-1,5,0,1,14,1,0,33,0,0,17,2,0,26,4,0,7,2,1,10,0,5,7,14,17,26,27,33
32,-1,-1,12,0,1,17,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,36,0,12,17,32,-1,-1,-1,-1
7,-1,-1,2,0,1,45,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,11,0,2,7,45,-1,-1,-1,-1
23,-1,-1,7,0,1,17,1,0,20,2,0,45,0,0,0,-1,-1,0,-1,-1,15,0,7,17,20,23,45,-1,-1
35,-1,-1,46,0,0,14,0,1,15,2,0,34,3,0,0,-1,-1,0,-1,-1,18,0,14,15,34,35,46,-1,-1
1,-1,-1,42,0,0,43,1,0,10,1,1,49,2,0,0,-1,-1,0,-1,-1,43,1,1,10,42,43,49,-1,-1
21,-1,-1,24,0,0,36,1,0,34,2,1,0,-1,-1,0,-1,-1,0,-1,-1,16,0,21,24,34,36,-1,-1,-1
36,-1,-1,26,0,1,12,1,1,40,0,0,0,-1,-1,0,-1,-1,0,-1,-1,22,0,12,26,36,40,-1,-1,-1
30,-1,-1,9,0,1,50,0,0,31,2,1,36,3,0,4,1,1,21,1,0,39,0,4,9,21,30,31,36,50
31,-1,-1,7,0,1,34,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,50,0,7,31,34,-1,-1,-1,-1
3,-1,-1,45,0,0,6,1,1,2,0,1,21,2,0,4,2,1,15,4,1,48,0,2,3,4,6,15,21,45
28,-1,-1,35,0,0,6,0,1,12,2,0,13,3,0,30,1,1,29,5,1,40,0,6,12,13,28,29,30,35
38,-1,-1,34,0,1,7,1,1,11,2,0,42,0,0,36,1,0,46,4,0,22,0,7,11,34,36,38,42,46
1,-1,-1,27,0,0,7,1,1,5,2,1,24,2,0,10,4,1,25,4,0,27,1,1,5,7,10,24,25,27
35,-1,-1,1,0,1,18,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,43,0,1,18,35,-1,-1,-1,-1
39,-1,-1,37,0,1,48,0,0,31,1,1,3,3,1,49,2,0,27,4,0,15,0,3,27,31,37,39,48,49
47,-1,-1,27,0,1,41,1,0,40,2,1,31,3,1,10,1,1,37,4,0,28,0,10,27,31,37,40,41,47
30,-1,-1,24,0,1,47,0,0,2,1,1,48,2,0,36,2,1,0,-1,-1,9,0,2,24,30,36,47,48,-1
25,-1,-1,41,0,0,45,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,34,0,25,41,45,-1,-1,-1,-1
15,-1,-1,26,0,0,41,1,0,12,0,1,7,3,1,0,-1,-1,0,-1,-1,34,0,7,12,15,26,41,-1,-1
4,-1,-1,7,0,0,3,0,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,3,1,3,4,7,-1,-1,-1,-1
18,-1,-1,43,0,0,30,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,32,0,18,30,43,-1,-1,-1,-1
25,-1,-1,2,0,1,16,1,0,32,0,0,0,-1,-1,0,-1,-1,0,-1,-1,9,0,2,16,25,32,-1,-1,-1
37,-1,-1,35,0,1,38,0,0,7,1,1,12,3,0,0,-1,-1,0,-1,-1,1,0,7,12,35,37,38,-1,-1
41,-1,-1,11,0,1,6,1,1,34,1,0,45,0,0,21,3,1,0,-1,-1,15,0,6,11,21,34,41,45,-1
41,-1,-1,9,0,1,44,0,0,19,1,0,0,-1,-1,0,-1,-1,0,-1,-1,21,0,9,19,41,44,-1,-1,-1
48,-1,-1,34,0,1,9,1,1,13,2,0,40,1,0,21,3,0,16,5,1,26,0,9,13,16,21,34,40,48
43,-1,-1,29,0,1,32,1,0,25,1,1,4,3,1,8,4,0,37,2,0,15,0,4,8,25,29,32,37,43
44,-1,-1,4,0,1,3,1,1,41,1,0,0,-1,-1,0,-1,-1,0,-1,-1,6,0,3,4,41,44,-1,-1,-1
29,-1,-1,11,0,1,17,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,4,0,11,17,29,-1,-1,-1,-1
39,-1,-1,22,0,1,9,1,1,5,2,1,50,0,0,26,1,0,35,5,0,21,0,5,9,22,26,35,39,50
